time,lon,lat,u10,v10,cdir,msl,msdwlwrf,r,rainfall,temp
20-02-1979,83,25.5,-1.352539418,-0.026206713,0,101169.037,347.5908423,54.31522396,6.989327431,27.15176201
21-02-1979,83,25.5,2.55861302,-0.305567845,0,101050.5847,303.7300254,61.29277226,0,28.17830849
22-02-1979,83,25.5,3.615822001,0.674436981,0,101056.288,274.1410828,68.27032055,0,25.4968605
23-02-1979,83,25.5,2.008804831,0.324862089,0,101194.1898,282.3844278,66.83141111,0,25.03393173
24-02-1979,83,25.5,2.086923721,-1.243743196,0,101285.5882,280.6548807,63.3413453,0,26.78440475
25-02-1979,83,25.5,2.790737723,0.322621224,0,101164.3574,276.0510503,72.23313398,0,27.01097298
26-02-1979,83,25.5,1.963421475,1.275735674,0,101392.9264,299.9598615,77.57285717,0,26.77205658
27-02-1979,83,25.5,1.967885412,0.339054232,0,101385.3221,304.9618611,90.57729187,0,28.33786011
28-02-1979,83,25.5,1.577290961,-0.138996902,0,101363.094,321.3863372,77.43594119,0,28.99308586
01-03-1979,83,25.5,2.342112096,-0.038904946,0,101646.0634,284.3814948,56.27079748,0,28.23925781
02-03-1979,83,25.5,2.126355161,0.748385516,0,101648.9881,277.7557118,50.46607663,0,27.6180706
03-03-1979,83,25.5,-2.347253287,-0.308555664,0,101650.3043,307.9232439,55.16255304,0,29.07835388
04-03-1979,83,25.5,2.024428609,0.06268092,0,101505.968,317.9023574,67.97323871,0,30.01455116
05-03-1979,83,25.5,1.833967314,0.378642842,0,101381.5199,339.9634151,57.88278938,0,29.64183426
06-03-1979,83,25.5,1.981277222,-1.202660677,0,101091.6774,346.8442752,59.31653218,0.463652045,31.80718803
07-03-1979,83,25.5,-1.154638229,1.473678722,0,100866.6181,360.7553087,71.70096999,0.32613641,32.35716629
08-03-1979,83,25.5,1.258119495,-1.064474021,0,100942.2228,340.3180345,71.54338745,0,32.2666626
09-03-1979,83,25.5,4.106111036,-2.840732767,0,101094.4559,298.0872224,62.37518349,0.160593897,30.79746819
10-03-1979,83,25.5,3.725932437,0.377148932,0,101177.5188,261.0512731,56.96829397,0,25.18514633
11-03-1979,83,25.5,4.020552252,0.780504577,0,101010.3694,278.2534232,61.96960219,0,26.1431942
12-03-1979,83,25.5,3.14710866,0.470518294,0,101024.8469,296.923822,77.07169302,0,27.69646072
13-03-1979,83,25.5,3.02955833,-0.056084909,0,100846.7298,299.2008517,90.06837775,0,29.95553589
14-03-1979,83,25.5,2.378567578,0.09928171,0,100952.7519,298.1307722,76.49561258,0,30.01756668
15-03-1979,83,25.5,2.290776825,-0.431803222,0,100626.7888,328.4227321,64.41342325,0,31.74736977
16-03-1979,83,25.5,2.657563614,0.346523781,0,100835.6157,302.9523513,61.85335278,0,31.08658218
17-03-1979,83,25.5,-0.374193316,1.565554174,0,100498.0998,343.2172034,55.52421789,0,32.54852676
18-03-1979,83,25.5,-2.303357911,-1.21834673,0,100631.9071,336.7905049,52.91248101,0,31.56257057
19-03-1979,83,25.5,1.799743801,0.475746978,0,100760.7422,319.2897279,47.05351043,0,32.74343872
20-03-1979,83,25.5,1.348142216,-0.181573332,0,101054.6794,327.6201724,55.97371563,0,32.12430191
21-03-1979,83,25.5,1.929941951,-0.15841773,0,101004.5199,331.2783512,69.42506475,0,33.35381699
22-03-1979,83,25.5,0.980611437,1.336239021,0,101012.2705,334.0406495,49.04525043,0,32.59990692
23-03-1979,83,25.5,1.674753576,-1.79648982,0,100977.466,328.6342594,56.06413185,0,32.97380066
24-03-1979,83,25.5,1.788583959,1.593191505,0,100840.0029,333.3314107,51.985069,0,34.57007599
25-03-1979,83,25.5,0.431547237,1.554349851,0,100773.9036,346.6576334,46.96567754,1.594403982,34.68093491
26-03-1979,83,25.5,2.001364936,0.332331638,0,100894.5494,325.2560433,51.24623937,0,36.19239044
27-03-1979,83,25.5,1.953005623,-1.388652446,0,100939.7368,336.4607711,49.72983032,0,35.46709061
28-03-1979,83,25.5,2.862160708,0.71850732,0,100790.8671,329.9158663,47.50300817,0,35.4004097
29-03-1979,83,25.5,2.914983958,0.414496677,0,100533.928,332.2862168,52.40615022,0,35.22325134
30-03-1979,83,25.5,1.764776297,1.133067288,0,100403.1918,348.3498521,39.47146517,0,36.30168915
31-03-1979,83,25.5,2.279616984,0.111232988,0,100464.1728,350.6206604,41.96436932,0,37.52590179
01-04-1979,83,25.5,2.221585808,-0.162899459,0,100527.0549,342.719492,48.25733772,0,37.65205765
02-04-1979,83,25.5,2.553405094,0.723736005,0,100626.0576,341.6618552,41.19970649,0,37.14620209
03-04-1979,83,25.5,3.423872728,0.488445212,0,100386.9594,341.5187632,42.6980323,0,37.91996002
